product_id,product_name,category,demand_type,shelf_life_days,lead_time_weeks,unit_cost,selling_price,critical_flag
PHM0066,Vaccine_Drug_66,Vaccine,Trending,242,4,370.99,467.28,1
PHM0067,Vaccine_Drug_67,Vaccine,Stable,336,3,600.72,774.12,1
PHM0068,Vaccine_Drug_68,Vaccine,Trending,214,4,269.26,316.85,1
PHM0069,Vaccine_Drug_69,Vaccine,Trending,252,3,630.57,757.25,1
PHM0070,Vaccine_Drug_70,Vaccine,Intermittent,309,4,350.67,482.89,0
PHM0071,Vaccine_Drug_71,Vaccine,Trending,250,3,202.13,271.42,1
PHM0072,Vaccine_Drug_72,Vaccine,Stable,221,4,531.01,667.44,0
PHM0073,Vaccine_Drug_73,Vaccine,Seasonal,356,3,527.35,716.48,1
PHM0074,Vaccine_Drug_74,Vaccine,Stable,290,3,225.1,279.39,1
PHM0075,Vaccine_Drug_75,Vaccine,Intermittent,271,3,609.24,802.21,1
PHM0076,Vaccine_Drug_76,Vaccine,Seasonal,338,3,755.46,913.49,0
PHM0077,Vaccine_Drug_77,Vaccine,Intermittent,285,3,307.62,424.86,1
PHM0078,Vaccine_Drug_78,Vaccine,Stable,351,3,360.08,484.97,0
PHM0079,Vaccine_Drug_79,Vaccine,Seasonal,300,3,319.74,441.12,1
PHM0080,Vaccine_Drug_80,Vaccine,Stable,237,3,596.02,744.8,0
PHM0081,Chronic_Drug_81,Chronic,Trending,720,2,72.14,92.15,1
PHM0082,Chronic_Drug_82,Chronic,Trending,720,2,43.84,61.05,0
PHM0083,Chronic_Drug_83,Chronic,Trending,720,2,43.01,54.13,1
PHM0084,Chronic_Drug_84,Chronic,Seasonal,720,2,102.75,131.3,1
PHM0085,Chronic_Drug_85,Chronic,Seasonal,720,2,35.33,44.48,1
PHM0086,Chronic_Drug_86,Chronic,Trending,720,2,81.76,113.42,1
PHM0087,Chronic_Drug_87,Chronic,Intermittent,720,2,116.37,142.56,1
PHM0088,Chronic_Drug_88,Chronic,Intermittent,720,2,78.29,95.82,0
PHM0089,Chronic_Drug_89,Chronic,Trending,720,2,111.28,153.09,1
PHM0090,Chronic_Drug_90,Chronic,Intermittent,720,2,95.75,110.12,0
PHM0091,Chronic_Drug_91,Chronic,Intermittent,720,2,85.8,108.15,0
PHM0092,Chronic_Drug_92,Chronic,Trending,720,2,109.06,133.16,1
PHM0093,Chronic_Drug_93,Chronic,Seasonal,720,2,128.21,171.52,1
PHM0094,Chronic_Drug_94,Chronic,Stable,720,2,47.68,55.38,1
PHM0095,Chronic_Drug_95,Chronic,Intermittent,720,2,79.73,104.24,0
PHM0096,Chronic_Drug_96,Chronic,Stable,720,2,77.96,92.53,1
PHM0097,Chronic_Drug_97,Chronic,Intermittent,720,2,56.26,76.01,1
PHM0098,Chronic_Drug_98,Chronic,Seasonal,720,2,96.89,133.65,0
PHM0099,Chronic_Drug_99,Chronic,Intermittent,720,2,110.11,153.82,1
PHM0100,Chronic_Drug_100,Chronic,Intermittent,720,2,129.67,166.88,1
PHM0101,Chronic_Drug_101,Chronic,Intermittent,720,2,61.1,74.04,1
PHM0102,Chronic_Drug_102,Chronic,Trending,720,2,62.95,73.61,0
PHM0103,Chronic_Drug_103,Chronic,Seasonal,720,2,68.37,87.86,0
PHM0104,Chronic_Drug_104,Chronic,Intermittent,720,2,113.27,150.26,0
PHM0105,Chronic_Drug_105,Chronic,Intermittent,720,2,95.11,119.26,0
PHM0106,Chronic_Drug_106,Chronic,Intermittent,720,2,138.58,179.6,1
PHM0107,Chronic_Drug_107,Chronic,Intermittent,720,2,30.71,38.02,1
PHM0108,Chronic_Drug_108,Chronic,Intermittent,720,2,88.59,107.92,1
PHM0109,Chronic_Drug_109,Chronic,Intermittent,720,2,110.26,148.8,1
PHM0110,Chronic_Drug_110,Chronic,Stable,720,2,147.69,189.56,1
PHM0111,Seasonal_Drug_111,Seasonal,Intermittent,365,2,73.21,86.68,0
PHM0112,Seasonal_Drug_112,Seasonal,Seasonal,365,2,28.77,35.81,0
PHM0113,Seasonal_Drug_113,Seasonal,Intermittent,365,3,49.51,66.36,0
PHM0114,Seasonal_Drug_114,Seasonal,Trending,365,3,81.4,110.54,0
PHM0115,Seasonal_Drug_115,Seasonal,Stable,365,2,60.27,80.6,0
PHM0116,Seasonal_Drug_116,Seasonal,Stable,365,3,41.82,48.81,0
PHM0117,Seasonal_Drug_117,Seasonal,Stable,365,2,96.22,115.45,0
PHM0118,Seasonal_Drug_118,Seasonal,Stable,365,2,42.89,54.4,0
PHM0119,Seasonal_Drug_119,Seasonal,Trending,365,2,59.88,72.7,0
PHM0120,Seasonal_Drug_120,Seasonal,Stable,365,2,70.44,97.98,0
PHM0121,Seasonal_Drug_121,Seasonal,Stable,365,2,97.35,114.58,0
PHM0122,Seasonal_Drug_122,Seasonal,Intermittent,365,3,68.18,93.88,0
PHM0123,Seasonal_Drug_123,Seasonal,Seasonal,365,3,95.61,114.69,0
PHM0124,Seasonal_Drug_124,Seasonal,Stable,365,2,77.29,94.71,0
PHM0125,Seasonal_Drug_125,Seasonal,Trending,365,2,51.04,64.16,0
PHM0126,Seasonal_Drug_126,Seasonal,Intermittent,365,2,62.95,77.76,0
PHM0127,Seasonal_Drug_127,Seasonal,Intermittent,365,3,32.92,45.77,0
PHM0128,Seasonal_Drug_128,Seasonal,Trending,365,2,57.66,76.89,0
PHM0129,Seasonal_Drug_129,Seasonal,Trending,365,3,59.87,81.21,0
PHM0130,Seasonal_Drug_130,Seasonal,Stable,365,3,88.88,120.67,0
PHM0131,Surgical_Drug_131,Surgical,Intermittent,720,2,364.49,441.38,0
PHM0132,Surgical_Drug_132,Surgical,Trending,720,2,200.92,255.89,0
PHM0133,Surgical_Drug_133,Surgical,Trending,720,1,246.26,305.04,0
PHM0134,Surgical_Drug_134,Surgical,Trending,720,2,183.9,238.89,0
PHM0135,Surgical_Drug_135,Surgical,Seasonal,720,1,254.99,305.42,0
PHM0136,Surgical_Drug_136,Surgical,Intermittent,720,2,246.57,330.29,0
PHM0137,Surgical_Drug_137,Surgical,Trending,720,2,234.45,270.63,0
PHM0138,Surgical_Drug_138,Surgical,Trending,720,1,221.32,267.98,0
PHM0139,Surgical_Drug_139,Surgical,Trending,720,2,266.04,328.81,0
PHM0140,Surgical_Drug_140,Surgical,Trending,720,2,310.86,378.54,0
PHM0141,Surgical_Drug_141,Surgical,Stable,720,1,136.2,163.19,0
PHM0142,Surgical_Drug_142,Surgical,Trending,720,1,157.46,210.15,0
PHM0143,Surgical_Drug_143,Surgical,Trending,720,2,394.15,535.32,0
PHM0144,Surgical_Drug_144,Surgical,Seasonal,720,1,208.26,255.24,0
PHM0145,Surgical_Drug_145,Surgical,Trending,720,2,113.65,132.25,0
PHM0146,Surgical_Drug_146,Surgical,Stable,720,1,291.36,389.9,0
PHM0147,Surgical_Drug_147,Surgical,Intermittent,720,1,272.22,345.0,0
PHM0148,Surgical_Drug_148,Surgical,Intermittent,720,2,155.31,180.6,0
PHM0149,Surgical_Drug_149,Surgical,Stable,720,1,346.63,433.35,0
PHM0150,Surgical_Drug_150,Surgical,Trending,720,1,145.52,196.86,0
PHM0151,Surgical_Drug_151,Surgical,Intermittent,720,1,398.18,469.7,0
PHM0152,Surgical_Drug_152,Surgical,Intermittent,720,1,332.71,414.26,0
PHM0153,Surgical_Drug_153,Surgical,Trending,720,2,358.05,500.38,0
PHM0154,Surgical_Drug_154,Surgical,Seasonal,720,1,282.89,377.66,0
PHM0155,Surgical_Drug_155,Surgical,Seasonal,720,1,179.39,209.94,0
PHM0156,Surgical_Drug_156,Surgical,Intermittent,720,1,265.6,315.83,0
PHM0157,Surgical_Drug_157,Surgical,Stable,720,2,306.81,388.87,0
PHM0158,Surgical_Drug_158,Surgical,Intermittent,720,1,186.43,227.57,0
PHM0159,Surgical_Drug_159,Surgical,Seasonal,720,1,306.22,422.88,0
PHM0160,Surgical_Drug_160,Surgical,Seasonal,720,2,134.43,162.15,0
